id,category,mutation_name,plsql_construct,original_snippet,mutant_snippet,mutation_rule,why_it_matters,expected_observable_effect,tags,content
MUT-015,relational,Equality to Inequality,comparison predicate,IF status = 'A' THEN,IF status != 'A' THEN,Invert equality semantics.,Finds missing scenario coverage for exact values.,Opposite branch is taken.,"['plsql', 'relational', 'equality', 'branch']","Equality to Inequality. In PL/SQL, this mutation targets comparison predicate. Original example: IF status = 'A' THEN Mutant example: IF status != 'A' THEN Mutation rule: Invert equality semantics. Why it matters: Finds missing scenario coverage for exact values. Expected observable effect: Opposite branch is taken."
MUT-016,logical,AND to OR,compound boolean condition,IF a IS NOT NULL AND b > 0 THEN,IF a IS NOT NULL OR b > 0 THEN,Replace conjunction with disjunction.,Exposes weak condition coverage in multi-part guards.,More inputs satisfy the guard than before.,"['plsql', 'logical', 'condition', 'branch']","AND to OR. In PL/SQL, this mutation targets compound boolean condition. Original example: IF a IS NOT NULL AND b > 0 THEN Mutant example: IF a IS NOT NULL OR b > 0 THEN Mutation rule: Replace conjunction with disjunction. Why it matters: Exposes weak condition coverage in multi-part guards. Expected observable effect: More inputs satisfy the guard than before."
MUT-017,logical,Insert NOT,boolean predicate,IF valid_flag THEN,IF NOT valid_flag THEN,Negate a predicate or boolean variable.,Detects whether both truth values are tested.,Condition branch is reversed.,"['plsql', 'logical', 'negation', 'branch']","Insert NOT. In PL/SQL, this mutation targets boolean predicate. Original example: IF valid_flag THEN Mutant example: IF NOT valid_flag THEN Mutation rule: Negate a predicate or boolean variable. Why it matters: Detects whether both truth values are tested. Expected observable effect: Condition branch is reversed."
MUT-018,range,BETWEEN to NOT BETWEEN,range predicate,WHERE score BETWEEN 10 AND 20,WHERE score NOT BETWEEN 10 AND 20,Invert a range predicate.,Finds missing boundary and range tests.,Rows inside range are excluded and outside rows are included.,"['plsql', 'sql', 'range', 'between']","BETWEEN to NOT BETWEEN. In PL/SQL, this mutation targets range predicate. Original example: WHERE score BETWEEN 10 AND 20 Mutant example: WHERE score NOT BETWEEN 10 AND 20 Mutation rule: Invert a range predicate. Why it matters: Finds missing boundary and range tests. Expected observable effect: Rows inside range are excluded and outside rows are included."
MUT-019,sql_predicate,IS NULL to IS NOT NULL,null predicate,WHERE bonus IS NULL,WHERE bonus IS NOT NULL,Invert null semantics in a SQL predicate.,Very important in Oracle/PLSQL because NULL behavior is often subtle.,Different rows are selected or updated.,"['plsql', 'sql', 'null', 'predicate']","IS NULL to IS NOT NULL. In PL/SQL, this mutation targets null predicate. Original example: WHERE bonus IS NULL Mutant example: WHERE bonus IS NOT NULL Mutation rule: Invert null semantics in a SQL predicate. Why it matters: Very important in Oracle/PLSQL because NULL behavior is often subtle. Expected observable effect: Different rows are selected or updated."
MUT-020,control_flow,IF Branch Removal,if/elsif block,IF cond THEN ... END IF;,IF cond THEN -- removed action END IF;,Remove or neutralize the body of a branch.,Checks whether a branch is truly exercised by tests.,No state change where one was expected.,"['plsql', 'control_flow', 'if', 'branch']","IF Branch Removal. In PL/SQL, this mutation targets if/elsif block. Original example: IF cond THEN ... END IF; Mutant example: IF cond THEN -- removed action END IF; Mutation rule: Remove or neutralize the body of a branch. Why it matters: Checks whether a branch is truly exercised by tests. Expected observable effect: No state change where one was expected."
MUT-021,control_flow,Branch Condition Inversion,if/elsif block,IF cond THEN,IF NOT cond THEN,Invert the condition guarding a branch.,Detects weak branch-specific assertions.,Opposite branch executes.,"['plsql', 'control_flow', 'if', 'negation']","Branch Condition Inversion. In PL/SQL, this mutation targets if/elsif block. Original example: IF cond THEN Mutant example: IF NOT cond THEN Mutation rule: Invert the condition guarding a branch. Why it matters: Detects weak branch-specific assertions. Expected observable effect: Opposite branch executes."
MUT-022,control_flow,ELSIF Reordering,if/elsif chain,ELSIF code = 1 THEN ... ELSIF code = 2 THEN ...,ELSIF code = 2 THEN ... ELSIF code = 1 THEN ...,Reorder equal-priority branches.,Useful when tests assume one branch ordering only.,Different scenario resolution order.,"['plsql', 'control_flow', 'elsif', 'order']","ELSIF Reordering. In PL/SQL, this mutation targets if/elsif chain. Original example: ELSIF code = 1 THEN ... ELSIF code = 2 THEN ... Mutant example: ELSIF code = 2 THEN ... ELSIF code = 1 THEN ... Mutation rule: Reorder equal-priority branches. Why it matters: Useful when tests assume one branch ordering only. Expected observable effect: Different scenario resolution order."
MUT-023,control_flow,CASE Arm Mutation,CASE statement,CASE x WHEN 1 THEN a WHEN 2 THEN b END CASE;,CASE x WHEN 1 THEN b WHEN 2 THEN a END CASE;,Swap or alter CASE outcomes.,Catches missing coverage for discrete workflow codes.,Different output per code path.,"['plsql', 'control_flow', 'case', 'branch']","CASE Arm Mutation. In PL/SQL, this mutation targets CASE statement. Original example: CASE x WHEN 1 THEN a WHEN 2 THEN b END CASE; Mutant example: CASE x WHEN 1 THEN b WHEN 2 THEN a END CASE; Mutation rule: Swap or alter CASE outcomes. Why it matters: Catches missing coverage for discrete workflow codes. Expected observable effect: Different output per code path."
MUT-024,control_flow,Loop Upper-Bound Reduction,FOR loop,FOR i IN 1..n LOOP,FOR i IN 1..n-1 LOOP,Reduce the loop upper bound.,Classic off-by-one mutant for cursor-like iteration.,Last iteration is skipped.,"['plsql', 'control_flow', 'loop', 'offbyone']","Loop Upper-Bound Reduction. In PL/SQL, this mutation targets FOR loop. Original example: FOR i IN 1..n LOOP Mutant example: FOR i IN 1..n-1 LOOP Mutation rule: Reduce the loop upper bound. Why it matters: Classic off-by-one mutant for cursor-like iteration. Expected observable effect: Last iteration is skipped."
MUT-025,control_flow,Loop Lower-Bound Shift,FOR loop,FOR i IN 1..n LOOP,FOR i IN 2..n LOOP,Increase the loop lower bound.,Reveals whether the first element matters.,First iteration is skipped.,"['plsql', 'control_flow', 'loop', 'offbyone']","Loop Lower-Bound Shift. In PL/SQL, this mutation targets FOR loop. Original example: FOR i IN 1..n LOOP Mutant example: FOR i IN 2..n LOOP Mutation rule: Increase the loop lower bound. Why it matters: Reveals whether the first element matters. Expected observable effect: First iteration is skipped."
MUT-026,control_flow,EXIT WHEN Removal,loop termination,EXIT WHEN done;,-- EXIT WHEN done;,Remove an exit condition from a loop.,Checks termination logic and infinite-loop resilience.,Loop continues longer than expected.,"['plsql', 'control_flow', 'loop', 'exit']","EXIT WHEN Removal. In PL/SQL, this mutation targets loop termination. Original example: EXIT WHEN done; Mutant example: -- EXIT WHEN done; Mutation rule: Remove an exit condition from a loop. Why it matters: Checks termination logic and infinite-loop resilience. Expected observable effect: Loop continues longer than expected."
MUT-027,control_flow,RETURN Removal,function return,RETURN result;,-- RETURN result;,Remove an early or terminal return.,Finds paths that assume a return value is always produced.,Missing return or altered control flow.,"['plsql', 'control_flow', 'return', 'function']","RETURN Removal. In PL/SQL, this mutation targets function return. Original example: RETURN result; Mutant example: -- RETURN result; Mutation rule: Remove an early or terminal return. Why it matters: Finds paths that assume a return value is always produced. Expected observable effect: Missing return or altered control flow."
MUT-028,control_flow,GOTO Target Mutation,GOTO statement,GOTO label_done;,GOTO label_error;,Redirect the jump to another valid label.,PL/SQL supports GOTO; mutation reveals fragile flow control.,Control jumps to a different section.,"['plsql', 'control_flow', 'goto', 'branch']","GOTO Target Mutation. In PL/SQL, this mutation targets GOTO statement. Original example: GOTO label_done; Mutant example: GOTO label_error; Mutation rule: Redirect the jump to another valid label. Why it matters: PL/SQL supports GOTO; mutation reveals fragile flow control. Expected observable effect: Control jumps to a different section."
MUT-029,sql,SELECT DISTINCT Removal,SELECT clause,SELECT DISTINCT deptno FROM emp;,SELECT deptno FROM emp;,Remove DISTINCT from a query.,Checks whether duplicate-row sensitivity is tested.,Duplicate rows appear in the result set.,"['plsql', 'sql', 'select', 'distinct']","SELECT DISTINCT Removal. In PL/SQL, this mutation targets SELECT clause. Original example: SELECT DISTINCT deptno FROM emp; Mutant example: SELECT deptno FROM emp; Mutation rule: Remove DISTINCT from a query. Why it matters: Checks whether duplicate-row sensitivity is tested. Expected observable effect: Duplicate rows appear in the result set."
MUT-030,sql,JOIN Type Replacement,JOIN clause,SELECT ... FROM a INNER JOIN b ON ...,SELECT ... FROM a LEFT JOIN b ON ...,Replace one join type with another compatible join type.,Important for data completeness and optional relationships.,More or fewer rows appear.,"['plsql', 'sql', 'join', 'relational']","JOIN Type Replacement. In PL/SQL, this mutation targets JOIN clause. Original example: SELECT ... FROM a INNER JOIN b ON ... Mutant example: SELECT ... FROM a LEFT JOIN b ON ... Mutation rule: Replace one join type with another compatible join type. Why it matters: Important for data completeness and optional relationships. Expected observable effect: More or fewer rows appear."
MUT-031,sql,Subquery Predicate Inversion,EXISTS / NOT EXISTS,WHERE EXISTS (SELECT 1 FROM child c WHERE c.id = p.id),WHERE NOT EXISTS (SELECT 1 FROM child c WHERE c.id = p.id),Invert subquery existence semantics.,Useful for parent-child or validation workflows.,Opposite membership set is selected.,"['plsql', 'sql', 'subquery', 'exists']","Subquery Predicate Inversion. In PL/SQL, this mutation targets EXISTS / NOT EXISTS. Original example: WHERE EXISTS (SELECT 1 FROM child c WHERE c.id = p.id) Mutant example: WHERE NOT EXISTS (SELECT 1 FROM child c WHERE c.id = p.id) Mutation rule: Invert subquery existence semantics. Why it matters: Useful for parent-child or validation workflows. Expected observable effect: Opposite membership set is selected."
MUT-032,sql,Aggregate Function Replacement,aggregate expression,SELECT MAX(amount) INTO v FROM t;,SELECT AVG(amount) INTO v FROM t;,Replace one aggregate function with a nearby aggregate.,Catches wrong summarization logic.,Different scalar result is returned.,"['plsql', 'sql', 'aggregate', 'function']","Aggregate Function Replacement. In PL/SQL, this mutation targets aggregate expression. Original example: SELECT MAX(amount) INTO v FROM t; Mutant example: SELECT AVG(amount) INTO v FROM t; Mutation rule: Replace one aggregate function with a nearby aggregate. Why it matters: Catches wrong summarization logic. Expected observable effect: Different scalar result is returned."
MUT-033,sql,Ordering Direction Mutation,ORDER BY clause,ORDER BY created_at ASC,ORDER BY created_at DESC,Reverse the sort direction.,Useful where the code depends on first/last record semantics.,Different row is fetched as top result.,"['plsql', 'sql', 'orderby', 'ordering']","Ordering Direction Mutation. In PL/SQL, this mutation targets ORDER BY clause. Original example: ORDER BY created_at ASC Mutant example: ORDER BY created_at DESC Mutation rule: Reverse the sort direction. Why it matters: Useful where the code depends on first/last record semantics. Expected observable effect: Different row is fetched as top result."
MUT-034,sql,LIKE Negation,LIKE predicate,WHERE name LIKE 'SYS%',WHERE name NOT LIKE 'SYS%',Negate pattern matching.,Catches weak string-filter tests.,Different set of rows matched.,"['plsql', 'sql', 'like', 'string']","LIKE Negation. In PL/SQL, this mutation targets LIKE predicate. Original example: WHERE name LIKE 'SYS%' Mutant example: WHERE name NOT LIKE 'SYS%' Mutation rule: Negate pattern matching. Why it matters: Catches weak string-filter tests. Expected observable effect: Different set of rows matched."
MUT-035,sql,NULL Predicate Mutation,IS NULL / IS NOT NULL,WHERE title IS NULL,WHERE title IS NOT NULL,Invert null-handling predicate.,Null logic is a common source of surviving mutants.,Rows included/excluded change.,"['plsql', 'sql', 'null', 'predicate']","NULL Predicate Mutation. In PL/SQL, this mutation targets IS NULL / IS NOT NULL. Original example: WHERE title IS NULL Mutant example: WHERE title IS NOT NULL Mutation rule: Invert null-handling predicate. Why it matters: Null logic is a common source of surviving mutants. Expected observable effect: Rows included/excluded change."
MUT-036,sql,Literal Constant Mutation,SQL literal,WHERE status = 'SUCCESS',WHERE status = 'FAILED',Mutate a hard-coded literal to a nearby value.,High value in business-rule and status-code logic.,A different code path is selected.,"['plsql', 'sql', 'literal', 'business_rule']","Literal Constant Mutation. In PL/SQL, this mutation targets SQL literal. Original example: WHERE status = 'SUCCESS' Mutant example: WHERE status = 'FAILED' Mutation rule: Mutate a hard-coded literal to a nearby value. Why it matters: High value in business-rule and status-code logic. Expected observable effect: A different code path is selected."
MUT-037,sql,Column Reference Mutation,SELECT column,SELECT account_id FROM accounts;,SELECT customer_id FROM accounts;,Swap a referenced column with another compatible column.,Finds mapping mistakes between schema fields.,Returned value differs.,"['plsql', 'sql', 'column', 'mapping']","Column Reference Mutation. In PL/SQL, this mutation targets SELECT column. Original example: SELECT account_id FROM accounts; Mutant example: SELECT customer_id FROM accounts; Mutation rule: Swap a referenced column with another compatible column. Why it matters: Finds mapping mistakes between schema fields. Expected observable effect: Returned value differs."
MUT-038,sql,Insert Target Table Mutation,INSERT INTO target,INSERT INTO audit_log ...,INSERT INTO error_log ...,Change the destination table for DML.,Useful for detecting wrong-table writes.,Rows are persisted in the wrong table.,"['plsql', 'sql', 'insert', 'dml']","Insert Target Table Mutation. In PL/SQL, this mutation targets INSERT INTO target. Original example: INSERT INTO audit_log ... Mutant example: INSERT INTO error_log ... Mutation rule: Change the destination table for DML. Why it matters: Useful for detecting wrong-table writes. Expected observable effect: Rows are persisted in the wrong table."
MUT-039,sql,Update Column Mutation,UPDATE SET column,UPDATE t SET flag = 'Y',UPDATE t SET status = 'Y',Mutate the column assigned by UPDATE.,Catches column-mapping mistakes in write operations.,Wrong field changes in storage.,"['plsql', 'sql', 'update', 'dml']","Update Column Mutation. In PL/SQL, this mutation targets UPDATE SET column. Original example: UPDATE t SET flag = 'Y' Mutant example: UPDATE t SET status = 'Y' Mutation rule: Mutate the column assigned by UPDATE. Why it matters: Catches column-mapping mistakes in write operations. Expected observable effect: Wrong field changes in storage."
MUT-040,sql,Delete Condition Mutation,DELETE WHERE clause,DELETE FROM t WHERE id = p_id;,DELETE FROM t WHERE id <> p_id;,Mutate the condition controlling deletion.,Checks whether deletion behavior is tested precisely.,Different rows get deleted.,"['plsql', 'sql', 'delete', 'predicate']","Delete Condition Mutation. In PL/SQL, this mutation targets DELETE WHERE clause. Original example: DELETE FROM t WHERE id = p_id; Mutant example: DELETE FROM t WHERE id <> p_id; Mutation rule: Mutate the condition controlling deletion. Why it matters: Checks whether deletion behavior is tested precisely. Expected observable effect: Different rows get deleted."
MUT-041,sql,Scalar Value Mutation in Workflow Codes,integer flag in SQL,WHERE workflow_state = 3,WHERE workflow_state = 4,Mutate magic numbers used to encode business states.,The manuscript notes that enterprise PL/SQL often uses integer workflow flags.,Different workflow branch or no match.,"['plsql', 'sql', 'workflow', 'flag']","Scalar Value Mutation in Workflow Codes. In PL/SQL, this mutation targets integer flag in SQL. Original example: WHERE workflow_state = 3 Mutant example: WHERE workflow_state = 4 Mutation rule: Mutate magic numbers used to encode business states. Why it matters: The manuscript notes that enterprise PL/SQL often uses integer workflow flags. Expected observable effect: Different workflow branch or no match."
MUT-042,sql,Multi-Condition Pruning,compound WHERE clause,WHERE a = 1 AND b = 2 AND c = 3,WHERE a = 1 AND b = 2,Remove one conjunct from a compound predicate.,Shows whether all business conditions are asserted.,Broader row set is accepted.,"['plsql', 'sql', 'compound', 'predicate']","Multi-Condition Pruning. In PL/SQL, this mutation targets compound WHERE clause. Original example: WHERE a = 1 AND b = 2 AND c = 3 Mutant example: WHERE a = 1 AND b = 2 Mutation rule: Remove one conjunct from a compound predicate. Why it matters: Shows whether all business conditions are asserted. Expected observable effect: Broader row set is accepted."
MUT-043,transaction,COMMIT Removal,transaction control,COMMIT;,-- COMMIT;,Remove an explicit commit.,PL/SQL often relies on durable side effects that must be verified.,Changes are not persisted after execution.,"['plsql', 'transaction', 'commit', 'persistence']","COMMIT Removal. In PL/SQL, this mutation targets transaction control. Original example: COMMIT; Mutant example: -- COMMIT; Mutation rule: Remove an explicit commit. Why it matters: PL/SQL often relies on durable side effects that must be verified. Expected observable effect: Changes are not persisted after execution."
MUT-044,transaction,ROLLBACK Removal,transaction control,ROLLBACK;,-- ROLLBACK;,Remove an explicit rollback.,Exposes missing cleanup or recovery checks.,Partial writes may remain visible.,"['plsql', 'transaction', 'rollback', 'cleanup']","ROLLBACK Removal. In PL/SQL, this mutation targets transaction control. Original example: ROLLBACK; Mutant example: -- ROLLBACK; Mutation rule: Remove an explicit rollback. Why it matters: Exposes missing cleanup or recovery checks. Expected observable effect: Partial writes may remain visible."
MUT-045,transaction,Savepoint Mutation,SAVEPOINT,SAVEPOINT sp_before;,SAVEPOINT sp_after;,Move or rename the savepoint used for partial rollback.,Useful in multi-step business transactions.,Rollback scope changes.,"['plsql', 'transaction', 'savepoint', 'rollback']","Savepoint Mutation. In PL/SQL, this mutation targets SAVEPOINT. Original example: SAVEPOINT sp_before; Mutant example: SAVEPOINT sp_after; Mutation rule: Move or rename the savepoint used for partial rollback. Why it matters: Useful in multi-step business transactions. Expected observable effect: Rollback scope changes."
MUT-046,transaction,Autonomous Transaction Toggle,PRAGMA AUTONOMOUS_TRANSACTION,PRAGMA AUTONOMOUS_TRANSACTION;,-- removed pragma,Add or remove autonomous transaction semantics.,Important for logging and audit procedures.,Commit visibility changes across sessions.,"['plsql', 'transaction', 'autonomous', 'audit']","Autonomous Transaction Toggle. In PL/SQL, this mutation targets PRAGMA AUTONOMOUS_TRANSACTION. Original example: PRAGMA AUTONOMOUS_TRANSACTION; Mutant example: -- removed pragma Mutation rule: Add or remove autonomous transaction semantics. Why it matters: Important for logging and audit procedures. Expected observable effect: Commit visibility changes across sessions."
MUT-047,exception,WHEN OTHERS Scope Narrowing,exception handler,WHEN OTHERS THEN,WHEN NO_DATA_FOUND THEN,Replace a catch-all handler with a narrow handler.,Detects whether exception propagation is tested.,Unhandled exceptions escape the procedure.,"['plsql', 'exception', 'handler', 'others']","WHEN OTHERS Scope Narrowing. In PL/SQL, this mutation targets exception handler. Original example: WHEN OTHERS THEN Mutant example: WHEN NO_DATA_FOUND THEN Mutation rule: Replace a catch-all handler with a narrow handler. Why it matters: Detects whether exception propagation is tested. Expected observable effect: Unhandled exceptions escape the procedure."
MUT-048,exception,WHEN OTHERS Swallowing,exception handler,WHEN OTHERS THEN RAISE;,WHEN OTHERS THEN NULL;,Suppress exception propagation.,Very useful for testing error-reporting expectations.,Procedure appears successful despite failure.,"['plsql', 'exception', 'swallow', 'error']","WHEN OTHERS Swallowing. In PL/SQL, this mutation targets exception handler. Original example: WHEN OTHERS THEN RAISE; Mutant example: WHEN OTHERS THEN NULL; Mutation rule: Suppress exception propagation. Why it matters: Very useful for testing error-reporting expectations. Expected observable effect: Procedure appears successful despite failure."
MUT-049,exception,RAISE_APPLICATION_ERROR Mutation,error raising,"RAISE_APPLICATION_ERROR(-20001, 'bad input');","RAISE_APPLICATION_ERROR(-20002, 'bad input');",Change the application error code.,Checks whether callers assert the right error contract.,Different exception code/message.,"['plsql', 'exception', 'raise_application_error', 'contract']","RAISE_APPLICATION_ERROR Mutation. In PL/SQL, this mutation targets error raising. Original example: RAISE_APPLICATION_ERROR(-20001, 'bad input'); Mutant example: RAISE_APPLICATION_ERROR(-20002, 'bad input'); Mutation rule: Change the application error code. Why it matters: Checks whether callers assert the right error contract. Expected observable effect: Different exception code/message."
MUT-050,exception,Raise Removed,exception branch,IF invalid THEN RAISE e_bad_input; END IF;,IF invalid THEN NULL; END IF;,Delete the explicit raise in a validation block.,Finds tests that do not verify failure paths.,Input is accepted when it should fail.,"['plsql', 'exception', 'raise', 'validation']","Raise Removed. In PL/SQL, this mutation targets exception branch. Original example: IF invalid THEN RAISE e_bad_input; END IF; Mutant example: IF invalid THEN NULL; END IF; Mutation rule: Delete the explicit raise in a validation block. Why it matters: Finds tests that do not verify failure paths. Expected observable effect: Input is accepted when it should fail."
MUT-051,exception,SQLCODE Branch Mutation,exception branch,IF SQLCODE = -1403 THEN ...,IF SQLCODE <> -1403 THEN ...,Invert the exception-code condition.,Checks error classification coverage.,Wrong handler branch executes.,"['plsql', 'exception', 'sqlcode', 'branch']","SQLCODE Branch Mutation. In PL/SQL, this mutation targets exception branch. Original example: IF SQLCODE = -1403 THEN ... Mutant example: IF SQLCODE <> -1403 THEN ... Mutation rule: Invert the exception-code condition. Why it matters: Checks error classification coverage. Expected observable effect: Wrong handler branch executes."
